Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere
0133250M;Ecole maternelle Espelido;ECOLE MATERNELLE PUBLIQUE;ESPELIDO;Public;;MALLEMORT;;13370;MALLEMORT;Mallemort;875701.0;6294270.0;EPSG:2154;43.72562332915129;5.180398102551648;Parfaite;Rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13053;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.7256233292,5.18039810255;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133283Y;Ecole privée Leschi - Annexe technique (Ecole secondaire technologique);ECOLE TECHNOLOGIQUE PRIVEE;LESCHI;Privé;58  COURS JULIEN;;;13006;MARSEILLE;Marseille  6e  Arrondissement;893473.1;6246818.8;EPSG:2154;43.29426063461955;5.383050026434291;Parfaite;Numéro de rue;301;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;1;OUVERT;13;93;2;13206;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2942606346,5.38305002643;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0133305X;Lycée professionnel privé Clovis Hugues;LYCEE PROFESSIONNEL PRIVE;CLOVIS HUGUES;Privé;7 rue FERNAND DOL;;;13100;AIX EN PROVENCE;Aix-en-Provence;898278.3;6272737.0;EPSG:2154;43.5259987628482;5.4521098282804505;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5259987628,5.45210982828;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133325U;Ecole élémentaire du Cros;ECOLE ELEMENTAIRE PUBLIQUE;CROS (DU);Public;Chemin de la Croix;;;13510;EGUILLES;Eguilles;890109.9;6276694.6;EPSG:2154;43.563825603959764;5.352609953695288;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13032;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.563825604,5.3526099537;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133334D;Lycée général et technologique privé ORT Léon Bramson;LYCEE GEN.ET TECHNOL.PRIVE;ORT LEON BRAMSON;Privé;9  RUE DES FORGES;;;13010;MARSEILLE;Marseille 10e  Arrondissement;895736.3;6245197.5;EPSG:2154;43.27906499945752;5.410299748943632;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;13;93;2;13210;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2790649995,5.41029974894;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133353Z;Collège Roquepertuse;COLLEGE;ROQUEPERTUSE;Public;ALLÉE EVARISTE GALOIS;;;13880;VELAUX;Velaux;881885.9;6272847.5;EPSG:2154;43.53138272003809;5.249538371492993;Correcte;Rue;340;COLLEGE;1;OUVERT;13;93;2;13112;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.53138272,5.24953837149;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133356C;Ecole maternelle le Cros;ECOLE MATERNELLE PUBLIQUE;CROS (LE);Public;1 rue des Jardins Fleuris;LES CONDAMINES;;13510;EGUILLES;Eguilles;890165.0;6276678.0;EPSG:2154;43.563661542685225;5.353285292174057;MANUEL;BATIMENT;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13032;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5636615427,5.35328529217;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133367P;Section d'enseignement professionnel du Lycée polyvalent Pierre Mendès France;SECTION ENSEIGNT PROFESSIONNEL;LPO PIERRE MENDES FRANCE;Public;AVENUE YITZHAK RABIN;;17;13741;VITROLLES CEDEX;Vitrolles;881980.0;6263396.0;EPSG:2154;43.44635857798939;5.247375478186705;Correcte;Rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;13;93;2;13117;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.446358578,5.24737547819;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133389N;Ecole élémentaire Arthur Rimbaud;ECOLE ELEMENTAIRE  PUBLIQUE;ARTHUR RIMBAUD;Public;Place Frédéric Mistral;;;13710;FUVEAU;Fuveau;907531.1;6265112.4;EPSG:2154;43.45479186678017;5.563400596064475;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13040;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4547918668,5.56340059606;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133395V;Lycée technologique privé Sainte Marie;LYCEE POLYVALENT PRIVE;STE MARIE;Privé;2  RUE DE JOUQUES;;;13100;AIX EN PROVENCE;Aix-en-Provence;897781.5;6273364.0;EPSG:2154;43.531775904879396;5.446209973241101;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5317759049,5.44620997324;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133407H;Section d'enseignement général et professionnel adapté du Collège René Cassin;SEGPA;CLG RENE CASSIN;Public;971  AVENUE PROSPER MERIMEE;;8;13150;TARASCON;Tarascon;833720.0;6303559.0;EPSG:2154;43.81837826589648;4.662029851916059;MANUEL;BATIMENT;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;13;93;2;13108;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.8183782659,4.66202985192;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133413P;Section d'enseignement professionnel du Lycée polyvalent Auguste et Louis Lumière;SECTION ENSEIGNT PROFESSIONNEL;LPO AUGUSTE ET LOUIS LUMIERE;Public;Avenue Jules Ferry;;;13600;LA CIOTAT;La Ciotat;911753.1;6235285.3;EPSG:2154;43.18537463200202;5.60337036550202;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;13;93;2;13028;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.185374632,5.6033703655;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133433L;Ecole maternelle Plan de Clavel;ECOLE MATERNELLE PUBLIQUE;PLAN DE CLAVEL;Public;Rue Georges Gros;;;13330;PELISSANNE;Pélissanne;873119.7;6284268.2;EPSG:2154;43.63629566123996;5.145009957433829;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13069;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6362956612,5.14500995743;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133445Z;College prive Vitagliano;COLLEGE;VITAGLIANO;Privé;5 rue ANTOINE PONS;;158;13228;MARSEILLE CEDEX 04;Marseille  4e  Arrondissement;894995.0;6247192.0;EPSG:2154;43.29720151973476;5.4019238669004705;MANUEL;BATIMENT;340;COLLEGE;1;OUVERT;13;93;2;13204;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2972015197,5.4019238669;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133446A;lycée général privé sous contrat;LYCEE GENERAL PRIVE;HAMASKAINE;Privé;60  BOULEVARD PINATEL;;;13012;MARSEILLE;Marseille 12e  Arrondissement;898134.8;6249253.8;EPSG:2154;43.31487406153795;5.441360062119766;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;13;93;2;13212;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3148740615,5.44136006212;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133451F;Collège Jean Zay;COLLEGE;JEAN ZAY;Public;QUARTIER DU PLANTIER CD 56;;9;13790;ROUSSET;Rousset;912473.0;6267940.0;EPSG:2154;43.47875685440376;5.625558837218957;MANUEL;BATIMENT;340;COLLEGE;1;OUVERT;13;93;2;13087;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4787568544,5.62555883722;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133474F;Lycée technologique privé Marie Gasquet;LYCEE POLYVALENT PRIVE;MARIE GASQUET;Privé;38  RUE ELECTRICIENS  ST BARNABE;;;13012;MARSEILLE;Marseille 12e  Arrondissement;896208.0;6248087.0;EPSG:2154;43.30491597308443;5.4171935214377465;MANUEL;BATIMENT;306;LYCEE POLYVALENT;1;OUVERT;13;93;2;13212;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3049159731,5.41719352144;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133492A;Collège Jean Bernard;COLLEGE;JEAN BERNARD;Public;BOULEVARD DE LA REINE JEANNE;;;13300;SALON DE PROVENCE;Salon-de-Provence;868967.1;6283957.3;EPSG:2154;43.6345019269977;5.093480177912255;Parfaite;Rue;340;COLLEGE;1;OUVERT;13;93;2;13103;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.634501927,5.09348017791;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133515A;Ecole privée Collel (Ecole secondaire);ECOLE SECONDAIRE PRIVEE;COLLEL;Privé;43  CHEMIN DU VALLON DE TOULOUSE;;;13010;MARSEILLE;Marseille 10e  Arrondissement;896948.5;6243880.4;EPSG:2154;43.266888820693815;5.424719565492174;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13210;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2668888207,5.42471956549;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0133630A;Section d'enseignement général et technologique du Lycée professionnel La Calade;SECTION ENSEIGNT GEN.ET TECHNO;LP CALADE (LA);Public;430  CHEMIN DE LA MADRAGUE VILLE;;;13015;MARSEILLE;Marseille 15e  Arrondissement;890847.6;6251943.1;EPSG:2154;43.34104514685386;5.352610382864538;Parfaite;Numéro de rue;335;SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3410451469,5.35261038286;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133702D;Section d'enseignement général et professionnel adapté du Collège privé St Vincent de Paul;SEGPA PRIVEE;CLG ST VINCENT DE PAUL;Privé;30  RUE STANISLAS TORRENTS;;;13006;MARSEILLE;Marseille  6e  Arrondissement;893117.0;6246045.9;EPSG:2154;43.28740766216395;5.378379862206026;Parfaite;Numéro de rue;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;13;93;2;13206;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2874076622,5.37837986221;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133762U;ECOLE PRIMAIRE L'OLIVIER;ECOLE PRIMAIRE PRIVEE;L'OLIVIER;Privé;5 boulevard Giraud;LE CANET;;13014;MARSEILLE;Marseille 14e  Arrondissement;892685.8;6250253.7;EPSG:2154;43.3253593806067;5.374630489697255;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3253593806,5.3746304897;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0133777K;ECOLE MATERNELLE SAINT ETIENNE DU GRES;ECOLE MATERNELLE PUBLIQUE;SAINT ETIENNE DU GRES;Public;Rue de la République;;;13103;ST ETIENNE DU GRES;Saint-Etienne-du-Grès;838880.5;6299580.0;EPSG:2154;43.78158425901759;4.72507031864044;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13094;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.781584259,4.72507031864;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133789Y;Collège François Mitterrand;COLLEGE;FRANCOIS MITTERRAND;Public;406 bis route DE GARDANNE;;;13109;SIMIANE COLLONGUE;Simiane-Collongue;897541.0;6262399.3;EPSG:2154;43.433241810497734;5.439049694891097;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13107;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4332418105,5.43904969489;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133798H;ECOLE MATERNELLE DE PUYLOUBIER;ECOLE MATERNELLE PUBLIQUE;PUYLOUBIER;Public;;PUYLOUBIER;;13114;PUYLOUBIER;Puyloubier;916449.0;6273230.0;EPSG:2154;43.5251234104469;5.67686877617941;Moyenne;Ville;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13079;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5251234104,5.67686877618;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133799J;Ecole secondaire privée Or Aviv;ECOLE SECONDAIRE PRIVEE;OR AVIV;Privé;62 chemin des Campanules;LES CAILLOLS;;13012;MARSEILLE;Marseille 12e  Arrondissement;898829.4;6247516.7;EPSG:2154;43.29906163466398;5.449249547721204;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13212;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2990616347,5.44924954772;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0133818E;ECOLE ELEMENTAIRE DES HAMEAUX;ECOLE ELEMENTAIRE PUBLIQUE;HAMEAUX (DES);Public;Quartier du Pigeonnier;;;13720;LA BOUILLADISSE;La Bouilladisse;911478.4;6259595.2;EPSG:2154;43.404019678249824;5.60987039332742;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13016;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4040196782,5.60987039333;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133821H;ECOLE ELEMENTAIRE ZAC CHATEAU GOMBERT;ECOLE ELEMENTAIRE PUBLIQUE;ZAC CHATEAU GOMBERT;Public;13 rue Robert de Roux;;;13013;MARSEILLE;Marseille 13e  Arrondissement;898507.0;6251812.2;EPSG:2154;43.33777438457542;5.4469198335213;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3377743846,5.44691983352;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0133829S;ECOLE PRIMAIRE  INTERNATIONALE DE MARSEILLE;ECOLE PRIMAIRE  PRIVEE;INTERNATIONALE DE MARSEILLE;Privé;27 boulevard DE LA CORDERIE;;;13007;MARSEILLE;Marseille  7e  Arrondissement;892424.6;6246350.9;EPSG:2154;43.290337321618836;5.369970276485392;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13207;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2903373216,5.36997027649;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0133866G;Collège privé Bnei Elazar;COLLEGE PRIVE;BNEI ELAZAR;Privé;329 boulevard Michelet;;;13009;MARSEILLE;Marseille  9e  Arrondissement;894973.3;6242790.6;EPSG:2154;43.25763294390042;5.400009387087792;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13209;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2576329439,5.40000938709;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133931C;Lycée Général Privé Notre Dame De La Viste;LYCEE GENERAL PRIVE;NOTRE DAME DE LA VISTE;Privé;111 chemin HENRI BEYLE;;12;13314;MARSEILLE CEDEX 15;Marseille 15e  Arrondissement;891349.7;6253229.9;EPSG:2154;43.35248128251459;5.359269984052946;Correcte;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3524812825,5.35926998405;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0133948W;ECOLE PRIMAIRE  JUIVE D'AIX EN PROVENCE (EJAP);ECOLE PRIMAIRE PRIVEE;JUIVE D'AIX EN PROVENCE (EJAP);Privé;5 rue de Jérusalem;;;13080;AIX EN PROVENCE;Aix-en-Provence;897545.9;6272560.8;EPSG:2154;43.524618442032285;5.442990623606998;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.524618442,5.44299062361;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0134000C;sainte victoire international school;ECOLE 2D DEGRE GENERAL PRIVEE;STE VICTOIRE INTERNATIONAL  SCHOOL;Privé;CHEMIN DE MAUREL;CHATEAU DE L'ARC;;13710;FUVEAU;Fuveau;910124.0;6266161.2;EPSG:2154;43.46346065999472;5.595830599782083;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;13;93;2;13040;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.46346066,5.59583059978;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134022B;Collège Louise Michel;COLLEGE;LOUISE MICHEL;Public;73  RUE ALFRED CURTEL;;86;13362;MARSEILLE CEDEX 10;Marseille 10e  Arrondissement;895601.8;6244918.0;EPSG:2154;43.27658883799274;5.408539592042221;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13210;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.276588838,5.40853959204;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134030K;ECOLE ELEMENTAIRE VAL SAINT ANDRE;ECOLE ELEMENTAIRE PRIVEE;VAL SAINT ANDRE;Privé;19 avenue;;;13080;AIX EN PROVENCE;Aix-en-Provence;896570.9;6272559.6;EPSG:2154;43.52487833919435;5.4309402716720045;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5248783392,5.43094027167;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134032M;Ecole du second degré professionnel privée Clovis Hugues;ECOLE 2D DEGRE PROF.PRIVEE;CLOVIS HUGUES;Privé;7 rue FERNAND DOL;;;13100;AIX EN PROVENCE;Aix-en-Provence;898278.3;6272737.0;EPSG:2154;43.5259987628482;5.4521098282804505;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5259987628,5.45210982828;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134042Y;ECOLE MATERNELLE MIREILLE FERAUD FOESSER;ECOLE MATERNELLE PUBLIQUE;MIREILLE  FERAUD FOESSER;Public;Boulevard Mendès France;;;13220;CHATEAUNEUF LES MARTIGUES;Châteauneuf-les-Martigues;875971.2;6256715.8;EPSG:2154;43.38779613043626;5.170939862785587;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13026;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3877961304,5.17093986279;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134059S;ECOLEMATERNELLE SAINT SAVOURNIN;ECOLE MATERNELLE PUBLIQUE;SAINT SAVOURNIN;Public;62 rue Saint Savournin;;;13001;MARSEILLE;Marseille  1er Arrondissement;893811.5;6247180.7;EPSG:2154;43.29742273012783;5.387350365200173;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13201;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2974227301,5.3873503652;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134086W;école primaire la souris verte;ECOLE MATERNELLE PRIVEE;LA SOURIS VERTE (MONTESSORI);Privé;22 chemin de la gueirarde et des craus;;;13580;LA FARE LES OLIVIERS;La Fare-les-Oliviers;876952.8;6274748.9;EPSG:2154;43.54973069951484;5.189210007245121;Correcte;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13037;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5497306995,5.18921000725;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134133X;école primaire des Gonagues;ECOLE PRIMAIRE PUBLIQUE;GONAGUES (DES);Public;Chemin Gonagues;;;13190;ALLAUCH;Allauch;901710.0;6253392.5;EPSG:2154;43.35108371169709;5.486989425456371;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13002;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3510837117,5.48698942546;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134151S;école primaire la terre des sylvains;ÉCOLE PRIMAIRE  PRIVÉE MONTESSORI;LA TERRE DES SYLVAINS;Privé;24 rue fernand julien;;;13410;LAMBESC;Lambesc;881812.0;6285675.0;EPSG:2154;43.64677108216911;5.253150608325322;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13050;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6467710822,5.25315060833;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134162D;école élémentaire privée perel;ÉCOLE ÉLÉMENTAIRE PRIVÉE;PEREL;Privé;36 avenue de la babiole;;;13320;BOUC BEL AIR;Bouc-Bel-Air;894645.7;6262655.6;EPSG:2154;43.43634513109925;5.403419794532036;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13015;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4363451311,5.40341979453;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134168K;école primaire sainte marthe audisio;ÉCOLE PRIMAIRE PUBLIQUE;SAINTE MARTHE AUDISIO;Public;Rue gabriel audisio;;;13014;MARSEILLE;Marseille 14e  Arrondissement;894627.0;6252259.2;EPSG:2154;43.34286460891218;5.399289652541964;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3428646089,5.39928965254;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134182A;CLG PR OZANAM;COLLEGE PRIVE HORS CONTRAT;OZANAM;Privé;61 rue Alphonse Daudet;;;13013;MARSEILLE;Marseille 13e  Arrondissement;895455.4;6249664.0;EPSG:2154;43.319302487859204;5.408519998833588;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3193024879,5.40851999883;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134183B;CLG PR HC LA PASSERELLE;COLLEGE PRIVE HORS CONTRAT;LA PASSERELLE;Privé;175 allée de la Fourmi;;;13400;AUBAGNE;Aubagne;908789.2;6246186.1;EPSG:2154;43.284250323814376;5.571319596491379;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13005;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2842503238,5.57131959649;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
0134225X;Ecole primaire publique André Allar;ECOLE PRIMAIRE PUBLIQUE;ANDRE ALLAR;Public;Rue André Allar;;;13015;MARSEILLE;Marseille 15e  Arrondissement;891854.5;6250141.6;EPSG:2154;43.32457577326678;5.364350457046066;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3245757733,5.36435045705;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134245U;College  Notre Dame;COLLEGE PRIVE;NOTRE DAME;Privé;Boulevard Théodore Aubanel;;;13140;MIRAMAS;Miramas;861533.6;6278592.3;EPSG:2154;43.5879787995529;4.999737358043085;Moyenne;Rue;340;COLLEGE;1;OUVERT;13;93;2;13063;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5879787996,4.99973735804;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0134274A;Ecole primaire Maurice Gouin;ECOLE PRIMAIRE PUBLIQUE;MAURICE GOUIN;Public;Chemin de Capeau;;;13800;ISTRES;Istres;859154.3;6269775.6;EPSG:2154;43.50921492310262;4.967575466030364;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13047;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5092149231,4.96757546603;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0134285M;GIFT SCHOOL;ECOLE SECONDAIRE PRIVEE;GIFT SCHOOL;Privé;Chemin de la peyres;;;13122;VENTABREN;Ventabren;888030.5;6274451.4;EPSG:2154;43.54420579826016;5.326074845770722;Correcte;Rue;340;COLLEGE;1;OUVERT;13;93;2;13114;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5442057983,5.32607484577;10;HORS CONTRAT;6;MINISTERE DE L'EDUCATION NATIONALE
